Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
138,Perfume: The Story of a Murderer,Patrick Süskind,4.04,"491,819","First published February 26, 1985","An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.","27,634",263,Paperback,"140,605","Fiction, Classics, Historical Fiction, Horror, Thriller, Mystery, Crime"
136,Where the Red Fern Grows,Wilson Rawls,4.12,"416,351","First published January 1, 1961","A loving threesome, they ranged the dark hills and river bottoms of Cherokee County. Old Dan had the brawn, Little Ann had the brains—and Billy had the will to train them to be the finest hunting team in the valley. Glory and victory were coming to them, but sadness waited too. And close by was the strange and wonderful power that's only found...","14,492",272,Mass Market Paperback,"142,948","Classics, Fiction, Young Adult, Childrens, Middle Grade, Historical Fiction, Animals"
135,"The Godfather (The Godfather, #1)",Mario Puzo,4.39,"432,680","First published March 10, 1969",The Godfather—the epic tale of crime and betrayal that became a global phenomenon.,"13,486",448,Paperback,"143,122","Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels"
134,"Holes (Holes, #1)",Louis Sachar,4.00,"1,246,733","First published August 20, 1998","Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing-great-great-grandfather and has since followed generations of Yelnats. Now Stanley has been unjustly sent to a boys’ detention center, Camp Green Lake, where the boys build character by spending all day, every day digging holes exactly five feet wide and five feet deep. There is no lake at Camp Green Lake. But there are an awful lot of holes.","27,716",272,Paperback,"143,260","Young Adult, Fiction, Middle Grade, Childrens, Classics, School, Realistic Fiction"
141,Fight Club,Chuck Palahniuk,4.18,"607,097","First published August 17, 1996","Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. ","23,317",224,Paperback,"137,467","Fiction, Classics, Thriller, Novels, Mystery, Literature, Adult"
133,The Name of the Rose,Umberto Eco,4.14,"373,161","First published September 1, 1980","The year is 1327. Franciscans in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns to the logic of Aristotle, the theology of Aquinas, and the empirical insights of Roger Bacon to find the killer. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey (“where the most interesting things happen at night”) armed with a wry sense of humor and a ferocious curiosity.","13,662",552,Paperback,"146,477","Fiction, Historical Fiction, Mystery, Historical, Literature, Italy, Italian Literature"
130,Tuesdays with Morrie,Mitch Albom,4.18,"1,069,358","First published August 18, 1997","Maybe it was a grandparent, or a teacher or a colleague. Someone older, patient and wise, who understood you when you were young and searching, and gave you sound advice to help you make your way through it. For Mitch Albom, that person was Morrie Schwartz, his college professor from nearly twenty years ago.","42,906",210,Paperback,"151,292","Nonfiction, Memoir, Biography, Classics, Philosophy, Inspirational, Self Help"
128,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,"2,884,765","First published October 16, 1950","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.","35,246",206,Paperback,"153,649","Fantasy, Fiction, Young Adult, Childrens, Classics, Middle Grade, Adventure"
131,The Unbearable Lightness of Being,Milan Kundera,4.11,"491,498","First published January 1, 1984",In ,"27,555",314,Paperback,"148,037","Fiction, Philosophy, Literature, Novels, Romance, Czech Literature, Classics"
132,On the Road,Jack Kerouac,3.61,"420,886","First published September 5, 1957","A quintessential novel of America & the Beat Generation On the Road chronicles Jack Kerouac's years traveling the N. American continent with his friend Neal Cassady, ""a sideburned hero of the snowy West."" As ""Sal Paradise"" & ""Dean Moriarty,"" the two roam the country in a quest for self-knowledge & experience. Kerouac's love of America, compassion for humanity & sense of language as jazz combine to make On the Road an inspirational work of lasting importance. This classic novel of freedom & longing defined what it meant to be ""Beat"" & has inspired every generation since its initial publication.","20,654",307,Paperback,"146,513","Fiction, Travel, Literature, Classics, Novels, American, Adventure"
129,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.30,"658,982","First published January 1, 2001","Barcelona, 1945: A city slowly heals from its war wounds, and Daniel, an antiquarian book dealer's son who mourns the loss of his mother, finds solace in a mysterious book entitled The Shadow of the Wind, by one Julian Carax. But when he sets out to find the author's other works, he makes a shocking discovery: someone has been systematically destroying every copy of every book Carax has written. In fact, Daniel may have the last of Carax's books in existence. Soon Daniel's seemingly innocent quest opens a door into one of Barcelona's darkest secrets--an epic story of murder, madness, and doomed love.","53,695",487,Paperback,"153,538","Fiction, Historical Fiction, Mystery, Fantasy, Books About Books, Historical, Spain"
127,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,512,218","First published July 31, 2003","Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow. This improbable story of Christopher’s quest to investigate the suspicious death of a neighborhood dog makes for one of the most captivating, unusual, and widely heralded novels in recent years.","57,389",226,Paperback,"153,694","Fiction, Mystery, Young Adult, Classics, Autistic Spectrum Disorder, Novels, Contemporary"
124,The Very Hungry Caterpillar,Eric Carle,4.33,"520,598","First published June 3, 1969","THE all-time classic story, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life?","10,812",26,Board book,"159,374","Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting"
126,The Adventures of Tom Sawyer,Mark Twain,3.92,"958,254","First published June 1, 1876","The Adventures of Tom Sawyer revolves around the youthful adventures of the novel's schoolboy protagonist, Thomas Sawyer, whose reputation precedes him for causing mischief and strife. Tom lives with his Aunt Polly, half-brother Sid, and cousin Mary in the quaint town of St. Petersburg, just off the shore of the Mississippi River. St. Petersburg is described as a typical small-town atmosphere where the Christian faith is predominant, the social network is close-knit, and familiarity resides. ","14,466",244,Paperback,"158,616","Fiction, Classics, Adventure, Historical Fiction, Young Adult, Literature, Childrens"
119,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.95,"1,824,780","First published June 1, 2002",One boy...,"29,569",503,Paperback,"163,123","Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy"
123,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,"1,051,018","First published May 5, 2009","All year the half-bloods have been preparing for battle against the Titans, knowing the odds of victory are grim. Kronos's army is stronger than ever, and with every god and half-blood he recruits, the evil Titan's power only grows.","45,020",381,Hardcover,"159,703","Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology"
121,Middlesex,Jeffrey Eugenides,4.03,"646,958","First published September 4, 2002"," tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, Michigan. To understand why Calliope is not like other girls, she has to uncover a guilty family secret, and the astonishing genetic history that turns Callie into Cal, one of the most audacious and wondrous narrators in contemporary fiction. Lyrical and thrilling, ","26,852",529,Paperback,"161,025","Fiction, Historical Fiction, Contemporary, LGBT, Classics, Literary Fiction, Queer"
120,The Count of Monte Cristo,Alexandre Dumas,4.31,"940,934","First published August 28, 1844","Thrown in prison for a crime he has not committed, Edmond Dantès is confined to the grim fortress of If. There he learns of a great hoard of treasure hidden on the Isle of Monte Cristo and he becomes determined not only to escape, but also to use the treasure to plot the destruction of the three men responsible for his incarceration. Dumas’ epic tale of suffering and retribution, inspired by a real-life case of wrongful imprisonment, was a huge popular success when it was first serialized in the 1840s.","33,476",1276,Paperback,"162,165","Historical Fiction, Adventure, Literature, Historical, France, Audiobook, Novels"
125,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,"871,661","First published January 17, 1964",Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!,"17,170",176,Paperback,"158,916","Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor"
118,The Master and Margarita,Mikhail Bulgakov,4.29,"371,349","First published January 1, 1967","An audacious revision of the stories of Faust and Pontius Pilate, ","22,624",372,Paperback,"176,145","Fiction, Fantasy, Russia, Russian Literature, Magical Realism, Literature, Novels"
122,Looking for Alaska,John Green,3.96,"1,648,084","First published March 3, 2005"," Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating Alaska Young. She is an event unto herself. She pulls Pudge into her world, launches him into the Great Perhaps, and steals his heart. Then. . . . ","77,864",221,Paperback,"160,787","Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen"
114,The Red Tent,Anita Diamant,4.20,"608,928","First published January 1, 1997","Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, ","22,609",324,Hardcover,"185,791","Historical Fiction, Fiction, Historical, Religion, Book Club, Feminism, Adult"
113,The Secret Life of Bees,Sue Monk Kidd,4.09,"1,311,353","First published November 8, 2001","Set in South Carolina in 1964, ","36,554",302,Paperback,"188,599","Fiction, Historical Fiction, Classics, Young Adult, Historical, Contemporary, Coming Of Age"
116,The Metamorphosis,Franz Kafka,3.88,"1,186,506","First published October 1, 1915","""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" ","50,034",201,Paperback,"177,116","Classics, Fiction, Fantasy, Philosophy, Short Stories, Literature, School"
112,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,"10,423,566","First published June 26, 1997","""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.""","170,240",333,Kindle Edition,"190,157","Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook"
115,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"996,759","First published March 27, 2007","Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. ","56,299",662,Hardcover,"181,312","Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy"
111,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"4,084,156","First published July 2, 1998","Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.","84,148",352,Hardcover,"190,705","Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook"
110,The Stranger,Albert Camus,4.03,"1,170,385","First published May 19, 1942","Published in 1942 by French author Albert Camus, ","56,086",123,Paperback,"196,477","Classics, Fiction, Philosophy, France, Literature, Novels, French Literature"
109,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,"845,406","First published August 31, 2010","In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the ","43,640",479,Hardcover,"199,033","Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction"
106,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"3,383,003","First published July 16, 2005","It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster, he was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...","61,075",652,Paperback,"240,151","Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Adventure"
103,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.15,"1,737,712","First published October 1, 1996","Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.","26,594",227,Kindle Edition,"258,618","Romance, Fiction, Chick Lit, Contemporary, Adult, Classics, Adult Fiction"
105,Fahrenheit 451,Ray Bradbury,3.96,"2,517,706","First published October 19, 1953","Fahrenheit 451 ofrece la historia de un sombrío y horroroso futuro. Montag, el protagonista, pertenece a una extraña brigada de bomberos cuya misión, paradójicamente, no es la de sofocar incendios sino la de provocarlos, para quemar libros. Porque en el país de Montag está terminantemente prohibido leer. Porque leer obliga a pensar, y en el país de Montag esta prohibido pensar. Porque leer impide ser ingenuamente feliz, y en el país de Montag hay que ser feliz a la fuerza...","78,239",158,Mass Market Paperback,"249,296","Fiction, Science Fiction, Dystopia, Classics, School, Literature, Novels"
104,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,"379,081","First published October 14, 1926","The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.","8,128",161,Hardcover,"253,022","Childrens, Fiction, Classics, Fantasy, Animals, Middle Grade, Audiobook"
102,Atlas Shrugged,Ayn Rand,3.69,"394,940","First published October 10, 1957","Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. ","20,496",1168,Paperback,"259,690","Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels"
101,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,"3,834,901","First published July 8, 2000","It is the summer holidays and soon Harry Potter will be starting his fourth year at Hogwarts School of Witchcraft and Wizardry. Harry is counting the days: there are new spells to be learnt, more Quidditch to be played, and Hogwarts castle to continue exploring. But Harry needs to be careful - there are unexpected dangers lurking...","73,330",734,Paperback,"283,658","Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade"
108,A Prayer for Owen Meany,John Irving,4.24,"325,632","First published January 1, 1989","Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul is both extraordinary and terrifying. At moments a comic, self-deluded victim, but in the end the principal, tragic actor in a divine plan, Owen Meany is the most heartbreaking hero John Irving has yet created.","16,782",637,Paperback,"220,051","Fiction, Classics, Contemporary, Literature, Literary Fiction, Novels, Historical Fiction"
81,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.20,"745,940","First published February 1, 1962",Alternate cover edition of ISBN ,"16,902",325,Mass Market Paperback,"383,732","Fiction, Classics, Psychology, Literature, Novels, Mental Health, School"
79,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,"3,257,087","First published August 1, 2005","Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.","79,455",480,Hardcover,"394,460","Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary"
107,"Moby-Dick or, The Whale",Herman Melville,3.55,"576,390","First published October 18, 1851", ,"24,057",720,Paperback,"229,177","Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, American"
117,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,"4,138,304","First published September 21, 1937","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.","75,737",366,Paperback,"176,168","Fantasy, Fiction, Novels, Literature, Magic, Young Adult, Childrens"
80,The Color Purple,Alice Walker,4.27,"707,211","First published June 1, 1982","A powerful cultural touchstone of modern American literature, ","27,699",304,Paperback,"394,121","Fiction, Historical Fiction, Feminism, LGBT, Historical, Queer, African American"
76,"Watership Down (Watership Down, #1)",Richard  Adams,4.09,"488,040","First published November 1, 1972","Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.","18,171",478,Mass Market Paperback,"413,201","Classics, Fiction, Fantasy, Young Adult, Animals, Childrens, Adventure"
78,"Outlander (Outlander, #1)",Diana Gabaldon,4.26,"1,086,198","First published June 1, 1991","The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743.","55,401",850,Mass Market Paperback,"396,324","Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance"
75,"The Fellowship of the Ring (Middle Earth, #1)",J.R.R. Tolkien,4.39,"2,873,262","First published July 29, 1954","In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in ","43,105",432,Kindle Edition,"416,696","Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Science Fiction Fantasy"
77,Great Expectations,Charles Dickens,3.79,"822,391","First published July 30, 1860","Great Expectations charts the progress of Pip from childhood through often painful experiences to adulthood, as he moves from the Kent marshes to busy, commercial London, encountering a variety of extraordinary characters ranging from Magwitch, the escaped convict, to Miss Havisham, locked up with her unhappy past and living with her ward, the arrogant, beautiful Estella.","23,093",544,Paperback,"404,584","Classics, Fiction, Literature, Historical Fiction, School, Novels, 19th Century"
73,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,"10,423,566","First published June 26, 1997","Harry Potter has no idea how famous he is. That's because he's being raised by his miserable aunt and uncle who are terrified Harry will learn that he's really a wizard, just as his parents were. But everything changes when Harry is summoned to attend an infamous school for wizards, and he begins to discover some clues about his illustrious birthright. From the surprising way he is greeted by a lovable giant, to the unique curriculum and colorful faculty at his unusual school, Harry finds himself drawn deep inside a mystical world he never knew existed and closer to his own noble destiny.","170,240",309,Hardcover,"422,653","Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook"
74,Rebecca,Daphne du Maurier,4.25,"652,752","First published August 1, 1938","The novel begins in Monte Carlo, where our heroine is swept off her feet by the dashing widower Maxim de Winter and his sudden proposal of marriage. Orphaned and working as a lady's maid, she can barely believe her luck. It is only when they arrive at his massive country estate that she realizes how large a shadow his late wife will cast over their lives--presenting her with a lingering evil that threatens to destroy their marriage from beyond the grave.","42,763",449,Kindle Edition,"416,724","Fiction, Mystery, Gothic, Romance, Classics, Historical Fiction, Thriller"
72,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,"781,134","First published October 1, 1989","Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes ","38,699",976,Paperback,"426,615","Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval"
71,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.30,"310,657","First published January 1, 1892"," is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. ","9,954",389,Paperback,"431,813","Mystery, Fiction, Short Stories, Crime, Classics, Audiobook, Mystery Thriller"
69,The Stand,Stephen        King,4.35,"780,872","First published October 3, 1978","First came the days of the plague. Then came the dreams. Dark dreams that warned of the coming of the dark man. The apostate of death, his worn-down boot heels tramping the night roads. The warlord of the charnel house and Prince of Evil. His time is at hand. His empire grows in the west and the Apocalypse looms.","30,910",1152,Hardcover,"452,662","Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia"
66,Water for Elephants,Sara Gruen,4.11,"1,643,214","First published May 22, 2006","When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her. ","63,447",368,Paperback,"502,045","Fiction, Historical Fiction, Romance, Historical, Adult, Adult Fiction, Contemporary"
70,Catch-22,Joseph Heller,3.99,"844,028","First published November 10, 1961","Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniest—and most celebrated—books of all time. In recent years it has been named to “best novels” lists by Time, Newsweek, the Modern Library, and the London Observer.","24,477",453,Paperback,"442,371","Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels"
67,The Bell Jar,Sylvia Plath,4.06,"1,034,462","First published January 1, 1963","The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.","64,761",294,Paperback,"476,914","Fiction, Feminism, Mental Health, Psychology, Literature, Literary Fiction, Novels"
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10,"1,397,561","First published March 31, 1969",", an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.”","42,271",275,Paperback,"515,008","Fiction, Science Fiction, Classics, Historical Fiction, War, Literature, Novels"
64,Lolita,Vladimir Nabokov,3.88,"875,930","First published September 1, 1955","Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.","42,931",368,Paperback,"529,938","Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction"
63,A Tale of Two Cities,Charles Dickens,3.87,"966,255","First published November 26, 1859"," is Charles Dickens’s great historical novel, set against the violent upheaval of the French Revolution. The most famous and perhaps the most popular of his works, it compresses an event of immense complexity to the scale of a family history, with a cast of characters that includes a bloodthirsty ogress and an antihero as believably flawed as any in modern fiction. Though the least typical of the author’s novels, ","24,368",489,Paperback,"536,195","Classics, Fiction, Historical Fiction, Literature, Historical, School, Novels"
61,"Dune (Dune, #1)",Frank Herbert,4.28,"1,453,662","First published June 1, 1965","Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...","72,431",658,Hardcover,"538,453","Science Fiction, Fiction, Fantasy, Audiobook, Science Fiction Fantasy, Classics, Novels"
62,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,"4,366,241","First published July 8, 1999","Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","88,881",435,Mass Market Paperback,"536,222","Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade"
68,Matilda,Roald Dahl,4.33,"996,666","First published September 28, 1988","Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world...","24,312",240,Paperback,"468,673","Fiction, Childrens, Fantasy, Middle Grade, Young Adult, Classics, Audiobook"
58,The Adventures of Huckleberry Finn,Mark Twain,3.83,"1,283,109","First published February 18, 1884","A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.","20,974",327,Paperback,"558,452","Fiction, Classics, Historical Fiction, Literature, Adventure, Young Adult, School"
59,Green Eggs and Ham,Dr. Seuss,4.31,"795,719","First published August 12, 1960","“Do you like green eggs and ham?” asks Sam-I-am in this Beginner Book by Dr. Seuss. In a house or with a mouse? In a boat or with a goat? On a train or in a tree? Sam keeps asking persistently. With unmistakable characters and signature rhymes, Dr. Seuss’s beloved favorite has cemented its place as a children’s classic. In this most famous of cumulative tales, the list of places to enjoy green eggs and ham, and friends to enjoy them with, gets longer and longer. Follow Sam-I-am as he insists that this unusual treat is indeed a delectable snack to be savored everywhere and in every way. ","11,764",64,Hardcover,"557,338","Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor"
60,Life of Pi,Yann Martel,3.94,"1,661,410","First published September 11, 2001","Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.","54,528",460,Paperback,"542,915","Fiction, Fantasy, Classics, Adventure, Magical Realism, Novels, Literature"
